"State","County","   Days per year with a heat index above 100°F   ",,,,,
,,," Midcentury ",," Late century ",,
,," Historical "," Slow action "," No action "," Slow action "," No action "," Rapid action "
"GA","Twiggs County",19,58,76,68,109,59
"GA","Union County",0,9,17,13,46,9
"GA","Upson County",17,57,74,67,107,58
"GA","Walker County",5,32,46,40,80,33
"GA","Walton County",8,38,53,46,87,38
"GA","Ware County",25,74,92,85,125,75
"GA","Warren County",12,45,61,54,96,46
"GA","Washington County",15,50,67,60,102,51
"GA","Wayne County",24,70,87,80,120,71
"GA","Webster County",15,54,71,63,107,55
"GA","Wheeler County",21,65,82,75,115,66
"GA","White County",0,11,20,16,51,11
"GA","Whitfield County",8,40,55,48,89,40
"GA","Wilcox County",22,66,84,76,116,68
"GA","Wilkes County",13,47,63,56,96,48
"GA","Wilkinson County",23,64,81,74,113,65
"GA","Worth County",20,64,82,75,116,66
"IA","Adair County",5,24,34,30,60,24
"IA","Adams County",5,24,34,29,60,24
"IA","Allamakee County",3,15,22,21,46,14
"IA","Appanoose County",6,26,36,32,62,26
"IA","Audubon County",5,21,31,27,57,22
"IA","Benton County",5,22,30,28,55,22
"IA","Black Hawk County",4,19,28,26,52,19
"IA","Boone County",4,22,31,28,56,22
"IA","Bremer County",3,18,26,25,51,18
"IA","Buchanan County",3,18,25,24,50,17
"IA","Buena Vista County",3,14,22,19,47,14
"IA","Butler County",4,21,29,28,54,21
"IA","Calhoun County",4,18,27,24,52,18
"IA","Carroll County",4,19,29,25,54,20
"IA","Cass County",5,23,33,29,59,23
"IA","Cedar County",5,24,32,30,57,24
"IA","Cerro Gordo County",3,16,23,23,47,16
"IA","Cherokee County",3,16,24,20,49,16
"IA","Chickasaw County",3,17,24,24,49,17
"IA","Clarke County",6,25,34,31,61,25
"IA","Clay County",3,15,23,20,47,15
"IA","Clayton County",3,17,25,23,49,17
"IA","Clinton County",5,21,29,27,54,21
"IA","Crawford County",4,19,28,24,53,19
"IA","Dallas County",5,23,33,29,58,23
"IA","Davis County",8,30,40,36,66,30
"IA","Decatur County",6,24,35,30,61,24
"IA","Delaware County",3,16,23,22,48,16
"IA","Des Moines County",7,30,38,36,64,30
"IA","Dickinson County",2,12,20,17,44,13
"IA","Dubuque County",3,16,24,22,48,16
"IA","Emmet County",2,13,21,19,45,13
"IA","Fayette County",3,15,22,22,46,15
"IA","Floyd County",4,19,26,26,51,19
"IA","Franklin County",3,18,25,24,50,18
"IA","Fremont County",8,33,43,38,70,33
"IA","Greene County",5,22,32,28,57,23
"IA","Grundy County",4,19,28,26,52,19
"IA","Guthrie County",5,22,32,28,58,22
"IA","Hamilton County",4,19,27,25,52,19
"IA","Hancock County",2,16,23,22,47,16
"IA","Hardin County",4,20,28,26,53,19
"IA","Harrison County",6,24,34,29,60,24
"IA","Henry County",8,32,40,38,67,32
"IA","Howard County",2,13,19,19,43,13
"IA","Humboldt County",3,17,25,23,49,17
"IA","Ida County",4,17,26,22,51,17
"IA","Iowa County",6,25,34,31,59,25
"IA","Jackson County",4,18,26,24,50,18
"IA","Jasper County",5,24,33,31,59,24
"IA","Jefferson County",9,32,41,38,67,32
"IA","Johnson County",6,27,35,33,61,27
"IA","Jones County",4,20,28,26,53,20
"IA","Keokuk County",7,28,37,34,62,28
"IA","Kossuth County",2,15,23,21,47,15
"IA","Lee County",8,33,42,39,68,33
"IA","Linn County",5,22,30,28,55,22
"IA","Louisa County",8,31,40,37,66,31
"IA","Lucas County",6,26,36,32,62,26
"IA","Lyon County",3,15,23,19,47,15
"IA","Madison County",5,24,34,30,60,24
"IA","Mahaska County",6,26,35,32,61,26
"IA","Marion County",6,27,37,34,63,27
"IA","Marshall County",4,21,30,27,54,21
"IA","Mills County",7,28,39,34,65,29
"IA","Mitchell County",3,15,22,22,46,15
"IA","Monona County",6,23,33,28,59,23
"IA","Monroe County",7,27,36,33,62,27
"IA","Montgomery County",7,27,38,33,64,28
"IA","Muscatine County",7,29,38,35,63,29
"IA","O'Brien County",3,15,24,20,48,16
"IA","Osceola County",2,12,20,17,43,12
"IA","Page County",7,30,41,35,67,30
"IA","Palo Alto County",3,15,24,21,48,16
"IA","Plymouth County",4,18,27,23,52,18
"IA","Pocahontas County",3,17,25,22,50,17
"IA","Polk County",5,24,33,30,58,24
"IA","Pottawattamie County",5,24,34,29,61,24
"IA","Poweshiek County",5,24,33,30,58,24
"IA","Ringgold County",5,24,34,30,61,24
"IA","Sac County",4,16,25,21,49,16
"IA","Scott County",5,24,33,31,58,24
"IA","Shelby County",4,21,31,26,56,21
"IA","Sioux County",4,16,25,21,50,17
"IA","Story County",4,20,29,26,54,20
"IA","Tama County",4,22,30,28,55,22
"IA","Taylor County",6,26,36,31,63,26
"IA","Union County",5,23,34,29,60,24
"IA","Van Buren County",9,34,44,40,70,34
"IA","Wapello County",7,28,37,34,64,28
"IA","Warren County",6,26,35,32,61,26
"IA","Washington County",8,31,39,37,66,31
